测试牛顿迭代法求方程f(X)=X-4=0的迭代过程和误差情况
初始根x0=5.0,实际根为4.0,迭代次数为10
------------  第一种方法 -----------
迭代	迭代根(x)	实际根	误差
0	4		4	0
1	4		4	0
2	4		4	0
3	4		4	0
4	4		4	0
5	4		4	0
6	4		4	0
7	4		4	0
8	4		4	0
9	4		4	0
------------  第二种方法 -----------
迭代	迭代根(x)	实际根	误差
0	4		4	0
1	4		4	0
2	4		4	0
3	4		4	0
4	4		4	0
5	4		4	0
6	4		4	0
7	4		4	0
8	4		4	0
9	4		4	0
初始根x0=10.0,实际根为4.0,迭代次数为20
------------  第一种方法 -----------
迭代	迭代根(x)	实际根	误差
0	4		4	0
1	4		4	0
2	4		4	0
3	4		4	0
4	4		4	0
5	4		4	0
6	4		4	0
7	4		4	0
8	4		4	0
9	4		4	0
10	4		4	0
11	4		4	0
12	4		4	0
13	4		4	0
14	4		4	0
15	4		4	0
16	4		4	0
17	4		4	0
18	4		4	0
19	4		4	0
------------  第二种方法 -----------
迭代	迭代根(x)	实际根	误差
0	4		4	0
1	4		4	0
2	4		4	0
3	4		4	0
4	4		4	0
5	4		4	0
6	4		4	0
7	4		4	0
8	4		4	0
9	4		4	0
10	4		4	0
11	4		4	0
12	4		4	0
13	4		4	0
14	4		4	0
15	4		4	0
16	4		4	0
17	4		4	0
18	4		4	0
19	4		4	0

测试牛顿迭代法求方程f(X)=X^2-4=0的迭代过程和误差情况
初始根x0=3.0,实际根为2.0,迭代次数为10
------------  第一种方法 -----------
迭代	迭代根(x)	实际根	误差
0	2.16667		2	0.166667
1	2.05093		2	0.050926
2	2.01654		2	0.0165431
3	2.00547		2	0.00546885
4	2.00182		2	0.00181794
5	2.00061		2	0.000605345
6	2.0002		2	0.000201702
7	2.00007		2	6.7234e-05
8	2.00002		2	2.24113e-05
9	2.00001		2	7.39098e-06
------------  第二种方法 -----------
迭代	迭代根(x)	实际根	误差
0	2.16667		2	0.166667
1	2.05093		2	0.050926
2	2.00063		2	0.000632286
3	2.00002		2	1.54972e-05
4	2		2	0
5	2		2	0
6	2		2	0
7	2		2	0
8	2		2	0
9	2		2	0
初始根x0=10.0,实际根为2.0,迭代次数为10
------------  第一种方法 -----------
迭代	迭代根(x)	实际根	误差
0	5.2		2	3.2
1	4.048		2	2.048
2	3.42868		2	1.42868
3	3.04089		2	1.04089
4	2.77854		2	0.77854
5	2.59253		2	0.592526
6	2.45647		2	0.456466
7	2.35475		2	0.354755
8	2.27751		2	0.277511
9	2.21816		2	0.218158
10	2.17215		2	0.172147
11	2.13624		2	0.136236
12	2.10806		2	0.108061
13	2.08586		2	0.0858648
14	2.06832		2	0.0683231
15	2.05443		2	0.054425
16	2.04339		2	0.0433919
17	2.03462		2	0.0346193
18	2.02764		2	0.0276356
19	2.02207		2	0.0220702
------------  第二种方法 -----------
迭代	迭代根(x)	实际根	误差
0	5.2		2	3.2
1	4.048		2	2.048
2	2.51807		2	0.518071
3	2.22896		2	0.228955
4	2.01176		2	0.011759
5	2.00118		2	0.00117683
6	2		2	2.38419e-07
7	2		2	0
8	2		2	0
9	2		2	0
10	2		2	0
11	2		2	0
12	2		2	0
13	2		2	0
14	2		2	0
15	2		2	0
16	2		2	0
17	2		2	0
18	2		2	0
19	2		2	0
